NOMINATION_ID,GT_SAQ_MILESTONE,GT_SAQ_MILESTONE_CATEGORY
MOB-EXP19-0466,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1504,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4854,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1026,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1799,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1027,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0473,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2129,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4661,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1630,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0269,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0478,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1801,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1507,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0172,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1914,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1631,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0114,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3170,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3609,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3100,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1533,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0863,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0493,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1810,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2269,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0294,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0877,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1585,CLEAN A/RTB,RTB'D YR 2021
